	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
TMPRSS3	1.10072980487855	5.41696256833365	11.3753107620818	9.68769264338016e-26	3.5292368468572e-24	47.6805995947519	up
MALL	1.30374497168744	6.68061584094315	11.3690693687283	1.02076374371102e-25	3.70272758425367e-24	47.6289301454508	up
LEMD1	1.11586793033225	3.96886555205908	11.3237270218703	1.4917751762997e-25	5.24287790176701e-24	47.2539543880875	up
OLFML2B	1.46251277885234	6.59394596795925	11.3051843025936	1.74182242009797e-25	6.07129049309869e-24	47.1008074890422	up
SFTA2	1.22777493777584	5.01912763128573	11.2969438760681	1.86593446051313e-25	6.45080199205969e-24	47.0327859429802	up
GCNT3	1.73659378103577	7.09726696767279	11.2765713771613	2.21185253034593e-25	7.56945088162831e-24	46.8647175926619	up
LGALS1	1.1167755066804	9.21422620947328	11.2732868873151	2.27330817726295e-25	7.76408075057143e-24	46.8376345144539	up
LAMP5	1.47190446395382	5.98882652388459	11.2701823358014	2.33295823092029e-25	7.91990229093984e-24	46.8120385367473	up
ALOX5AP	1.20414382751275	7.56406983209448	11.253629337887	2.67830040942956e-25	8.94879860665418e-24	46.6756201018794	up
ID1	1.12259664305185	6.8008191781276	11.1666092420131	5.5254713202765e-25	1.78288541267588e-23	45.960006603817	up
KYNU	1.06610981227201	5.71497895725697	11.1543086779381	6.11977959621652e-25	1.97089479771688e-23	45.8590635859461	up
MX1	1.14486805387923	7.15822055377215	11.1440010821401	6.66647844165691e-25	2.13478534596726e-23	45.7745161832965	up
ESRRG	-1.08387996870165	4.55653999591058	-11.1365798103431	7.08992486732166e-25	2.24885144024698e-23	45.7136666232826	down
DHRS9	1.40866212514267	5.3733235575274	11.1363690273827	7.10233483194886e-25	2.24885144024698e-23	45.7119386222572	up
MMP12	1.98711239149533	5.43977996711456	11.1351967773194	7.17174708574426e-25	2.26659320209902e-23	45.7023287866791	up
TPM2	1.22481192332977	7.95970620106903	11.1337496752567	7.25836568170573e-25	2.2896967346014e-23	45.6904664403363	up
ASPN	1.30150774097035	8.77740780638341	11.1191953942588	8.18955216126694e-25	2.55961279726683e-23	45.5712012164728	up
FLNA	1.01369793615124	8.39233728355539	11.1160795321601	8.40385725699789e-25	2.62175583671352e-23	45.5456778943954	up
CDK1	1.06315598287118	4.87895042610306	11.0964266209836	9.89018380587058e-25	3.04064816100631e-23	45.3847713118533	up
KIAA1324	-1.85367769302383	6.30365234587599	-11.0679362044224	1.25207504512334e-24	3.79430255176913e-23	45.1517500679352	down
EDIL3	1.19477659703413	5.05169236166686	11.0461580764523	1.49913916229957e-24	4.51073133381077e-23	44.9738219587083	up
COL4A2	1.06477879057054	8.62877320318171	11.025269861466	1.78151588744072e-24	5.31318294599397e-23	44.8033229369411	up
FAM129A	-1.06692381453452	7.2890617079656	-11.0224648747159	1.82326177126343e-24	5.42812906945561e-23	44.780439222654	down
TNFAIP6	1.56469045237431	5.86142590385405	10.9986226016666	2.21975068503203e-24	6.55097153387501e-23	44.5860422243231	up
BST2	1.05767318072812	6.68142142176279	10.9873106572165	2.43678816404998e-24	7.14172863304612e-23	44.493882049451	up
PDGFRB	1.05225382936711	7.47619510880948	10.9849455050476	2.48476915029548e-24	7.26977364525138e-23	44.4746186000358	up
GPX2	1.61435829910799	6.82522706759711	10.9611357917372	3.02334031763014e-24	8.72493781612513e-23	44.2808079617143	up
MUCL3	2.09121457128321	5.32885119261828	10.9429528803693	3.51150994676082e-24	1.00651401858085e-22	44.1329373393093	up
IGFBP5	1.26549426937167	6.73533581972889	10.938051503853	3.65601810936252e-24	1.04616464142907e-22	44.0930979107045	up
RGN	-1.25240226067992	5.45685577767743	-10.9375409083786	3.67140817273022e-24	1.04879687092833e-22	44.0889481838012	down
ACSL5	1.38389938690156	7.15732285342412	10.9133908648747	4.47788752399499e-24	1.26636752348039e-22	43.8927835058688	up
NT5E	1.16976954049557	5.15772708297979	10.9045175164362	4.81656356173244e-24	1.35761375600246e-22	43.8207609377401	up
ACADL	-1.60523740981052	5.24554351144927	-10.8811053713928	5.83745034546056e-24	1.62375055586374e-22	43.630869105119	down
MT1G	-1.35543194222871	9.79953384515503	-10.8724620822817	6.2664668284649e-24	1.73738049221269e-22	43.5608156844985	down
PXDN	1.22671352396167	6.96890173402507	10.8722010599638	6.27989945697508e-24	1.73825975165291e-22	43.5587005387815	up
C2CD4B	-1.09400185428301	4.78222939980411	-10.7940261365292	1.1911921230294e-23	3.17276644089905e-22	42.9263571625608	down
LGALS2	-1.36038525007749	6.41914894951897	-10.7905826532617	1.22519781920054e-23	3.25311145098074e-22	42.8985556020636	down
DPP10	-1.44820009416008	3.8689836886175	-10.7870855265405	1.26072136329323e-23	3.33697185846678e-22	42.8703254719241	down
SLC43A1	-1.36895759515237	6.83606558339465	-10.7715925861216	1.4308268223852e-23	3.76369664149151e-22	42.7453155822548	down
SLC39A5	-1.46643822836649	6.07355768466001	-10.761505489872	1.55365560403615e-23	4.04906552805729e-22	42.6639728378697	down
IFI6	1.08070782061819	7.1352623822359	10.7438030712499	1.79508884244789e-23	4.65678483783572e-22	42.5213121883572	up
TFF1	2.23553359681264	7.69038532032068	10.7097434047924	2.36940470305536e-23	6.0539540980027e-22	42.247163635161	up
COL4A1	1.09032487866837	8.68199070005445	10.707967389117	2.40392134926243e-23	6.13289573140143e-22	42.2328803993078	up
ANPEP	-2.04956941629152	8.05029487602186	-10.6652407130732	3.40307533985411e-23	8.41578047549324e-22	41.889621289901	down
NUCB2	-1.23757395625065	8.86379661499291	-10.6573016734295	3.6298358603323e-23	8.96347222653487e-22	41.825917018882	down
IL2RG	1.12361259071787	6.7623816580146	10.6345945810491	4.36474757401773e-23	1.0654009208049e-21	41.6438444994148	up
IL1R2	1.19851929501315	5.9785621552891	10.6211136463181	4.86919235004319e-23	1.17331605134753e-21	41.5358438392763	up
DACT1	1.04858991822507	6.19436005209345	10.608953699396	5.37371650936379e-23	1.28938750238842e-21	41.4384861293875	up
KLF5	1.12857749447868	7.10915090316005	10.5541189640956	8.37636339885739e-23	1.95179636831698e-21	41.0001667600894	up
TCN1	2.10863534965706	7.37140351817934	10.5502287490119	8.6439692779575e-23	2.00587451463836e-21	40.9691148706204	up
GAS2	-1.06748146832536	5.15457323259607	-10.5015272290666	1.28079405046249e-22	2.90450484803676e-21	40.5808779246949	down
SLC16A10	-1.41834674203592	6.32309775552681	-10.4970826965276	1.32752798334809e-22	3.00244646701156e-21	40.5454935297663	down
MAL2	1.23371795475289	8.99624481874165	10.4808200833629	1.51344135760322e-22	3.40926816460087e-21	40.4160878557336	up
BACE1	-1.30565439184354	7.15627554082488	-10.4593918521408	1.79845576302619e-22	3.98246282688414e-21	40.2457376577229	down
S100A4	1.11700554489015	7.81222611624245	10.4576598928114	1.82369829714262e-22	4.03308735686631e-21	40.2319768686264	up
MT1M	-1.22739094636245	6.91424688269045	-10.4464264735873	1.99618896109337e-22	4.40879282932487e-21	40.1427538452517	down
CP	1.86776540738239	5.74464321589337	10.4405324415394	2.09308245497583e-22	4.60478140094682e-21	40.0959597191507	up
NCF2	1.15743291952717	6.52124585052329	10.4371532536611	2.15072734939654e-22	4.71934213714734e-21	40.0691377746378	up
GUCA1C	-1.69635791121486	3.84349102428884	-10.3913926674937	3.1058061210672e-22	6.67669488462924e-21	39.7063668062818	down
LUM	1.01797459551349	10.3596993971609	10.345017371984	4.50339617537442e-22	9.45322567668434e-21	39.3395803644277	up
F8	-1.1934662388361	5.71324974831723	-10.3249029378724	5.28949248054538e-22	1.09943561497471e-20	39.1807637184964	down
ANXA1	1.21900332900676	9.68079729010736	10.3129268216534	5.82081044922242e-22	1.2010295859906e-20	39.0862824480081	up
RBPJL	-1.93772940851149	5.63425726912973	-10.3101565683411	5.95107650246655e-22	1.22492388762799e-20	39.0644358388864	down
GPHA2	-1.29772832295546	5.5225224201779	-10.3011495292776	6.39496880802363e-22	1.311510552154e-20	38.993426664975	down
PM20D1	-1.66020298929175	4.51849534673554	-10.2889775464881	7.04753330875449e-22	1.43837607530483e-20	38.8975184786386	down
MT1F	-1.1073397799955	8.74318620932474	-10.2863527612871	7.19670229882138e-22	1.46705339280426e-20	38.8768446228464	down
MUC16	1.15783608040503	4.09929019643195	10.2760068741796	7.81585124876867e-22	1.58563497190588e-20	38.7953837403755	up
FAM83D	1.12801956923913	4.71399827656345	10.2694161897796	8.23757845956333e-22	1.6671992724612e-20	38.7435132307765	up
GPNMB	1.21355689742296	6.90257592798755	10.2635601630332	8.63122342530581e-22	1.74063005743667e-20	38.6974396287807	up
ALB	-2.89857260303724	5.97622505074511	-10.2458659445232	9.9378125320537e-22	1.98521868270035e-20	38.5583120139152	down
F5	1.08766144415373	5.64014956183737	10.2424117784353	1.02149228636832e-21	2.03577403895051e-20	38.5311673332487	up
FBN1	1.39038376869783	8.03114530283998	10.2377535907042	1.060082058478e-21	2.10772183927433e-20	38.4945685956507	up
TPST2	-1.20524164077651	7.7543671621854	-10.2177183725391	1.2432601688179e-21	2.42916116029702e-20	38.3372567797204	down
TMEM200A	1.05708495580085	5.94283752826857	10.2128692646955	1.2921270673582e-21	2.51882997940712e-20	38.2992076780398	up
VSIG1	1.56536840968955	4.31020897572542	10.1843427419193	1.62075865777865e-21	3.13063302882216e-20	38.0755684079857	up
MSN	1.00617495120477	9.05808599355604	10.1832815378276	1.6344686235894e-21	3.15351918947659e-20	38.0672554161956	up
AKAP7	-1.06799449091309	6.29432046223265	-10.1558078194797	2.03242958938856e-21	3.8771798698471e-20	37.8522022370411	down
MMP7	1.85496311545291	9.15189582664082	10.1495247045722	2.13619085315424e-21	4.05948902576502e-20	37.8030648664127	up
TMED6	-2.23808089049161	6.39385250033382	-10.1376474078295	2.34692233731477e-21	4.42726774990113e-20	37.710223143783	down
PRRX1	1.01394894443395	6.03140591682733	10.1233956867463	2.62719397447147e-21	4.90679888947593e-20	37.5988993263031	up
CCDC110	-1.1117664673708	3.90628413181304	-10.0255312308855	5.68762635416776e-21	1.02063972923307e-19	36.8367745980228	down
PLXDC2	1.0267359685665	7.16140534474747	10.0180488128323	6.03262005063938e-21	1.07571140692454e-19	36.7786726366698	up
THY1	1.10394616243038	7.22886684107059	9.99582419796344	7.18470982966174e-21	1.25992737592619e-19	36.6062371243317	up
ALKAL2	-1.32921872638415	5.99795696911417	-9.97218268279664	8.65071358441044e-21	1.50919761194555e-19	36.4230413998508	down
CXCL5	1.03084105505177	4.47519808176209	9.94627288254402	1.06001842857909e-20	1.8230164649878e-19	36.2225461725151	up
BNIP3	-1.25221645285128	7.15717772531528	-9.94224474892803	1.09401695145379e-20	1.87577400380843e-19	36.1914017846225	down
TRIM31	1.30331467635648	4.24879731329254	9.91603594556702	1.34325318039141e-20	2.26415013689856e-19	35.9889349143495	up
INHBA	1.04117409088662	4.75173877512042	9.88394979084157	1.72625832020133e-20	2.88390689785113e-19	35.7414724387747	up
PAK3	-1.26760592845389	6.33759205899187	-9.87327986878713	1.87625830782749e-20	3.11911832527946e-19	35.6592811751522	down
SEMA3C	1.16642946955263	6.13467195720129	9.86935753694729	1.9345937366178e-20	3.20352081117356e-19	35.6290796987324	up
MMP1	1.94980001786781	6.25428295907043	9.8519852074605	2.21538490709766e-20	3.64002137014883e-19	35.4953962056788	up
GNMT	-1.84997465052105	5.2543170505439	-9.83479952388741	2.53291330796402e-20	4.13766166219002e-19	35.3632798281481	down
TMEM45B	1.18646445549358	5.85418265719889	9.80436196986327	3.21003858041352e-20	5.18874556795849e-19	35.1296090841069	up
EGF	-2.11164987296599	5.418386130974	-9.77778150001268	3.94655434572332e-20	6.31299628107204e-19	34.9258858604171	down
PDIA2	-2.37116524134124	6.76223420575825	-9.76098227676047	4.4961964139195e-20	7.16515214033832e-19	34.7972924297579	down
NRG4	-1.50002467606508	4.2735905612809	-9.74904524580601	4.93230713866267e-20	7.81602272487798e-19	34.7059944453058	down
HMCN1	1.09342664605536	6.04655604251361	9.72085896250909	6.13585828219867e-20	9.59754748849913e-19	34.4906709925813	up
CXCL8	1.53359450916344	6.59309380078691	9.71070557662304	6.63737368991431e-20	1.03248035176445e-18	34.4131937990901	up
LAMA4	1.18221820810895	7.02262734074925	9.67487924655055	8.75454339931393e-20	1.33125641996749e-18	34.14018672991	up
GPR87	1.00816287517964	3.45257039692016	9.666805493632	9.3174193338728e-20	1.4143107841918e-18	34.078742666745	up
CHRM3	-1.10687602282335	4.64651408202544	-9.63875214055782	1.15672016294306e-19	1.72793999649518e-18	33.8654773816918	down
NRCAM	-1.37487976586523	6.09779542987094	-9.62284907236842	1.30740273495724e-19	1.93765549695325e-18	33.7447395799956	down
F11	-1.35982797103769	4.17936784179233	-9.61109433050857	1.4311540803052e-19	2.10815218438001e-18	33.6555706839003	down
CKS2	1.03614560400857	5.77969232640496	9.60647325050791	1.48292692642572e-19	2.17684420568905e-18	33.6205335237598	up
MMP9	1.10273490652804	5.85721533314499	9.6040816150246	1.51044747566004e-19	2.21340659495511e-18	33.6024039224995	up
SERPINA1	1.09315040412793	8.71544117952319	9.56571213736432	2.02801450812679e-19	2.91387326273688e-18	33.3119067929688	up
KLK10	1.27954553467185	6.12637638330637	9.54574771906507	2.36341155234125e-19	3.3728889382191e-18	33.1610239073845	up
SFRP2	1.37868790444559	9.14003417492043	9.53455373633908	2.57497740937231e-19	3.66555607687117e-18	33.0765051425604	up
LINC00339	-1.08130338495523	5.63581881251472	-9.5324643137059	2.61649935625225e-19	3.71841435360009e-18	33.0607356570301	down
NR5A2	-1.8874418362031	6.67070235066897	-9.51701235968909	2.94490030556351e-19	4.14685047184088e-18	32.9441782012511	down
KRT23	1.34652529798659	5.24290342336206	9.51412466448156	3.0106601418253e-19	4.23592880419606e-18	32.9224080049039	up
LOX	1.21770487902964	6.12476928209096	9.43285337331608	5.59644088207894e-19	7.56613795230784e-18	32.3113069691264	up
BIRC3	1.01987417610506	7.65746776780981	9.41174653642586	6.57085018376731e-19	8.82713736027107e-18	32.1531070260609	up
GRPR	-1.09843093685015	4.23241510540836	-9.3666909638447	9.24964983422359e-19	1.22127099136202e-17	31.8161130219091	down
IAPP	-2.32275544502099	6.21969371362254	-9.3620769637603	9.57877182012163e-19	1.26079560709293e-17	31.7816570382263	down
MUC13	1.50315426398416	6.30655174595504	9.35353993934016	1.02186491311449e-18	1.33362031033586e-17	31.7179318620213	up
SCNN1A	1.04037447631071	6.9750169982478	9.34211618495336	1.11416670134565e-18	1.44296513155927e-17	31.6327129821956	up
MFAP5	1.43615484155629	7.07440843155939	9.3131272319008	1.38718502445618e-18	1.77484247086765e-17	31.4167419229535	up
PSAT1	-1.20697498159607	5.68385023490981	-9.28786851618193	1.67853335337606e-18	2.11880439688454e-17	31.2288909161656	down
ST6GALNAC1	1.22693414833606	5.40800553821058	9.25222461974135	2.19555081649035e-18	2.7247348594393e-17	30.9643287623182	up
DPEP1	-1.1579486486581	6.4156197727253	-9.21226352585135	2.96461545549889e-18	3.63390635428012e-17	30.6684562355863	down
TCEA3	-1.07393879467178	7.43333909665964	-9.20331795819103	3.17043880062426e-18	3.87498075631854e-17	30.6023297976287	down
GBP3	1.06898371525667	6.89290642163616	9.1782842797625	3.82479400218419e-18	4.61153098911033e-17	30.4174868081214	up
EPB41L4B	-1.21366226880248	7.19784081109033	-9.14225985128167	5.00775337778333e-18	5.92550430125518e-17	30.1520309521567	down
NNMT	1.10165163368361	8.56736889136303	9.07076461467394	8.53303031095813e-18	9.76026559538357e-17	29.6271000088659	up
SERPINB2	1.2435912160513	4.81848012366057	9.01522331643846	1.28873507957231e-17	1.43061417090138e-16	29.2210654619131	up
AQP8	-2.07245214328695	6.10834332659693	-9.01496433109818	1.29121050309007e-17	1.43186465297703e-16	29.2191757776442	down
SYBU	-1.07100040853766	6.64593477537033	-9.0146565549812	1.29415840452798e-17	1.43287865181072e-16	29.2169301358106	down
MOXD1	1.1055948976647	7.13614249859556	8.96710066253058	1.8398049825793e-17	1.9940048883489e-16	28.8705201447415	up
TSPAN8	1.51571460287922	9.15538400522188	8.94719722161954	2.13094036748468e-17	2.29778038352582e-16	28.7258780634994	up
ADAM12	1.19004911962675	5.76640959134157	8.93388039971544	2.35076804006413e-17	2.51401582062413e-16	28.6292146615296	up
KLK1	-2.09874550277102	7.55664319150635	-8.92217714922858	2.56241838604756e-17	2.7258274931694e-16	28.5443383724683	down
ERP27	-2.57513468372517	7.79574985145131	-8.89183357219595	3.20320153516068e-17	3.34332926713629e-16	28.3246015540726	down
SERPINI2	-2.74299355223835	6.35762092999641	-8.87011149341588	3.75710288818853e-17	3.88555085017788e-16	28.1675882932048	down
RGS1	1.19004179001215	7.28020418458882	8.80590302608265	6.01172641317907e-17	6.0618241332889e-16	27.7048939920984	up
RAB25	1.01136995667484	6.93146510686163	8.78799751265151	6.85119192085175e-17	6.85648194613632e-16	27.5762456161067	up
C19orf33	1.20524666857947	7.2977291989251	8.76378063642446	8.17389661005371e-17	8.11164666516168e-16	27.4025167911373	up
MACC1	1.0056298743085	6.627304246999	8.72851138194364	1.05644473096364e-16	1.02615675129152e-15	27.1500482088696	up
SERPINB3	1.4347354614552	3.83600025802453	8.72527252543482	1.08159478167528e-16	1.04638581391086e-15	27.1268961539793	up
FGL1	-1.87793742361322	5.7328894590975	-8.7250746395407	1.08315046091336e-16	1.04669531134469e-15	27.1254818010359	down
HOMER2	-1.23096990045284	5.80738152279573	-8.70925742009513	1.21493708571892e-16	1.16342759932609e-15	27.012497772488	down
DUOX2	1.64296208467827	5.98533196729665	8.61969728150054	2.32186121721161e-16	2.13522865252897e-15	26.3752557071575	up
CTRL	-2.58388613813051	7.67055168171952	-8.5491406022257	3.8561289197513e-16	3.41467976479807e-15	25.8762403200683	down
SFRP4	1.47439464839576	7.994108421144	8.540143411633	4.11304642002707e-16	3.61572425299733e-15	25.8127996894362	up
S100A2	1.14170234600518	4.85064600602217	8.51453043371498	4.94089585435946e-16	4.29224491142817e-15	25.6324379924261	up
PBLD	-1.01614731816924	5.53578486715518	-8.45712320859464	7.44319921575508e-16	6.28240133108575e-15	25.2294806144786	down
RARRES1	1.04234736158263	6.13293012696814	8.42355868975913	9.45039765678716e-16	7.81306668159953e-15	24.9947150591568	up
SLC17A4	-1.0291871885829	3.97559611545629	-8.40529617959306	1.07586490923714e-15	8.80016975493827e-15	24.867238338295	down
PLS1	1.13654238070709	7.50410889455275	8.38217882226601	1.26742422901832e-15	1.02629858697755e-14	24.706136916751	up
CYP2C18	1.25058534488386	4.95681064958447	8.27517158829321	2.69581492590278e-15	2.07201020166938e-14	23.9642787894811	up
IGFBP2	-1.04700529265158	7.93984398233418	-8.27196072462715	2.75729421464417e-15	2.11446645523188e-14	23.9421172610171	down
BEX1	-1.22105328633526	7.18497758114109	-8.25487801072416	3.1084472256772e-15	2.37301018490184e-14	23.8243088393841	down
CXCL10	1.09098043341983	5.56689406970777	8.24152622764417	3.41338389462124e-15	2.57906883028028e-14	23.73234440813	up
SCGN	-1.35749974644725	6.39052685115281	-8.20784648530698	4.32029519189055e-15	3.21554483965843e-14	23.5008114097504	down
IL22RA1	-1.19590965608979	6.15655164125763	-8.18883029216836	4.93366176980098e-15	3.63849501003172e-14	23.3703669276825	down
PLA2G7	1.05149556444405	6.37905733234828	8.17406886705084	5.46845960152942e-15	3.99808828873148e-14	23.2692500483628	up
CCL18	1.25860935853582	6.49009197378525	8.16863048659847	5.67960893838254e-15	4.1417380721567e-14	23.2320279338255	up
LYZ	1.38550819059605	9.19548171944309	8.15036362415142	6.44957523880477e-15	4.66108381166181e-14	23.1071265629162	up
SLC26A9	1.00801859440767	4.61326775950049	8.11647394000057	8.16113018873288e-15	5.81124612850504e-14	22.875906959604	up
PNLIPRP1	-2.90406818545995	8.006445891416	-7.99314418508801	1.91148751746746e-14	1.27282226988596e-13	22.040039172799	down
PNLIPRP2	-2.82609316339034	8.58937349949022	-7.98877249933985	1.96972115750501e-14	1.30888549418725e-13	22.0105717674206	down
ADH1B	-1.2662325610453	7.33323318209939	-7.93673496249239	2.81306515519056e-14	1.83352534547626e-13	21.6606691759664	down
GRB14	-1.08820354445631	5.24959590256944	-7.92081869345404	3.13606372329336e-14	2.02581067961837e-13	21.5539643372008	down
GP2	-2.67818844386951	8.81833429098841	-7.80823472621422	6.73715036158355e-14	4.11417906002975e-13	20.8034578252918	down
KRT6A	1.19458408863096	4.15133876511242	7.80778922933955	6.7574677458986e-14	4.12501695909948e-13	20.8005030095992	up
SLCO1B3	1.03781530092505	3.60846387747314	7.75374359245884	9.72879618371246e-14	5.79078732790194e-13	20.4429192366835	up
KCNJ16	-1.54928938885758	6.06585350061741	-7.69357070458454	1.45680364262006e-13	8.47758629542557e-13	20.04686159333	down
CELA2B	-2.41325502367009	7.82187949372607	-7.62692487627729	2.27257397957222e-13	1.28239184590118e-12	19.6107596754075	down
MUC1	1.09382737301739	8.64568802643892	7.61806471504131	2.41048959141889e-13	1.35345355249042e-12	19.552986410264	up
SULT1C2	1.13950527149253	5.25237148272548	7.60379294271686	2.65019490868401e-13	1.47387727357541e-12	19.460027361914	up
EPYC	1.21285696640309	4.27262061090376	7.55345868292988	3.6988223955407e-13	2.00955905646117e-12	19.1331734706884	up
IMPA2	-1.00814071067489	7.35960753352647	-7.54924260680129	3.80330299612365e-13	2.06235444156001e-12	19.1058664540732	down
LGALS4	1.24677820972835	8.27302315812284	7.46154190400495	6.77247525504688e-13	3.53873321469753e-12	18.5403351587288	up
HPGD	1.10197629380164	5.98690354487595	7.42110295262183	8.82285670701199e-13	4.53456288279075e-12	18.2811807577378	up
SLC4A4	-1.46359194996178	6.84679395689435	-7.34558361595073	1.44193914642013e-12	7.17159399305840e-12	17.7999617050478	down
MUC17	1.23020344814696	4.63260077198209	7.3028786637642	1.90068302155795e-12	9.30028029612698e-12	17.529435573213	up
C6	-1.19237477714691	6.44240076987927	-7.26003774420909	2.50472707956049e-12	1.20130455061593e-11	17.2592138465276	down
CTRC	-2.54814807468637	8.72633791001478	-7.25594649246345	2.57146149201927e-12	1.23156792973725e-11	17.2334693234798	down
CPA2	-2.59392344585116	9.24762395760514	-7.23754188129385	2.8939787210318e-12	1.37746556713343e-11	17.1177893869619	down
TMEM97	-1.13748886083879	7.09811544261559	-7.1527159405937	4.97522355214162e-12	2.2778455938724e-11	16.5874413386743	down
ARL14	1.05751196355506	6.37396089347086	7.01217714553974	1.20873280424504e-11	5.21901192026883e-11	15.7190475260989	up
CELP	-1.97838490336811	7.37781316120715	-6.99352107089826	1.35860905064148e-11	5.82211923042413e-11	15.6047445016812	down
CYP3A5	1.04091079297848	6.94802456126805	6.93333209840559	1.97791733733428e-11	8.29765222744992e-11	15.2375444152541	up
SPP1	1.01825720649088	6.7055960806666	6.8076916278683	4.29938324205883e-11	1.71328045449251e-10	14.4788187898901	up
FAM3B	-1.20625319334578	7.66656959461528	-6.71721280136802	7.47226168436396e-11	2.85604947953803e-10	13.9390148311971	down
CLPS	-2.38473136107868	9.29635190406814	-6.68241366152	9.22890088201167e-11	3.4687725968777e-10	13.7328825389521	down
GATM	-1.12879075514953	5.88218568017011	-6.67449932403425	9.68179662099864e-11	3.6229210240715e-10	13.6861175603824	down
AZGP1	-1.15370213970417	7.1321213802582	-6.63004814287505	1.26612459125634e-10	4.65454656594668e-10	13.4242581844945	down
TFF2	1.25196856899764	6.80165476431247	6.57428708187074	1.76942201099524e-10	6.3585084569918e-10	13.097696161622	up
PRSS3	-1.51501518376121	8.9263103984906	-6.54460687366974	2.11266154498378e-10	7.50912433319874e-10	12.9247524017318	down
CEL	-2.36277055574351	9.25946816871899	-6.53250269347574	2.27068738763973e-10	8.026239515938e-10	12.8543980233544	down
REG1CP	-1.7583399435499	6.83716907447899	-6.41034278065904	4.67636789098181e-10	1.58403663413781e-09	12.1500818129844	down
SYCN	-1.92998383042015	8.39715835522442	-6.35080379834313	6.62555045272028e-10	2.19298211545685e-09	11.8106117938134	down
PLA2G1B	-2.28584952364009	9.49949370158341	-6.33408232679796	7.30344501310215e-10	2.40327036755926e-09	11.7157234675278	down
CELA3B	-2.0093683218836	9.38213563310325	-6.16137320867493	1.974972305988e-09	6.12411328270854e-09	10.7473483595635	down
CELA3A	-2.10757613925427	9.86799223010266	-6.0756921390672	3.21018129257952e-09	9.63850958814197e-09	10.2749217177957	down
DMBT1	1.09604013281679	6.32239681021306	5.82241844520083	1.30887334059198e-08	3.63420986553485e-08	8.90993321145173	up
CPA1	-2.03002081127727	9.53818349979061	-5.57621766571963	4.90782197899381e-08	1.25833970522408e-07	7.62907749861592	down
REG1A	-1.6279344499483	10.2968830203078	-5.57148761038336	5.03184242493008e-08	1.28799351281831e-07	7.60492085500806	down
GC	-1.03832744459032	6.01413958602005	-5.51049869348756	6.9315269322338e-08	1.74602328969577e-07	7.29498656945786	down
PNLIP	-1.94289505434946	10.0145399439238	-5.38231799132855	1.34665021050814e-07	3.25825804554791e-07	6.65296473642454	down
REG1B	-1.89783373737774	9.22975313722366	-5.34928548181265	1.59483433550825e-07	3.81204596363802e-07	6.48958552092666	down
FABP4	-1.12677485034936	6.60038023970253	-5.24784581809061	2.66728234951739e-07	6.19210127460938e-07	5.99321205601194	down
SLC3A1	-1.03687186069611	7.5459488450275	-5.06891882539927	6.48245899389277e-07	1.44566686883285e-06	5.13752305877628	down
OLFM4	1.15360073459893	9.04035516262041	4.88749039137097	1.55546935334118e-06	3.30154753108627e-06	4.296091383657	up
REG4	1.08677177464971	5.23406861785481	4.87923847649917	1.61765620776941e-06	3.42581524685758e-06	4.25845480660443	up
CPB1	-1.67002710261787	10.0857198559398	-4.87795600713135	1.62753394365796e-06	3.44501124647831e-06	4.2526105083081	down
PRSS2	-1.23679406150438	9.82188782499991	-4.82031819422332	2.13685029959362e-06	4.45791183191084e-06	3.99133718747737	down
CFTR	-1.1237499504554	8.29058563875157	-4.6508449245105	4.68678042496557e-06	9.39019046705107e-06	3.2389176786328	down
REG3G	-1.13904277022185	5.90201881510527	-4.57599590247772	6.58232286025452e-06	1.29265649493058e-05	2.91417700873666	down
REG3A	-1.37318374074336	8.24448900513345	-4.18704535037735	3.57636652673805e-05	6.4705381782487e-05	1.30257764093493	down
