	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
NUAK1	1.11437810443543	6.71560018694055	13.2824027480376	6.59499478426291e-33	7.81253228289606e-31	64.0026492981561	up
IL1RN	1.49650858401818	5.58929137389503	13.2599562408799	8.05159211920584e-33	9.27850139451339e-31	63.8051649707543	up
LTBP1	1.09235235895687	6.94789386196222	13.2292141639778	1.05803991499212e-32	1.2110267675653e-30	63.5348742357729	up
PCDH7	1.14598435002235	4.96339305371865	13.2218051307731	1.1299961253273e-32	1.27614229086964e-30	63.4697634052894	up
TMC5	2.13325548467305	7.00058758123764	13.2141237255905	1.20975337925846e-32	1.35716703606876e-30	63.4022716947347	up
CD55	1.28223012668922	8.32856493929851	13.2104301288184	1.25007925750351e-32	1.39318043566509e-30	63.3698229893529	up
COL1A2	1.85158709600081	11.3104159399753	13.1844669855405	1.57399056221379e-32	1.72021936283236e-30	63.1418185500483	up
MXRA5	1.43499175647188	8.33454521951354	13.1699778742945	1.78985001185823e-32	1.93121396183939e-30	63.0146422829656	up
BGN	1.47686157405295	8.63849969836078	13.1624602003014	1.91323388740756e-32	2.05127734510658e-30	62.9486752937485	up
BHLHE40	1.0389824275755	7.22230355873923	13.1221628906924	2.73441726919427e-32	2.91327223522962e-30	62.5952851056521	up
LGALS3BP	1.03072079622405	8.12985773731018	13.1038319238632	3.21636363044602e-32	3.40532499373473e-30	62.4346512220797	up
TGM2	1.52956714427708	7.24662975647822	13.0835798211771	3.84783128688193e-32	4.04858770184968e-30	62.2572709245774	up
PLAUR	1.20644068324235	7.03287718441376	13.0009346233012	7.98900318875092e-32	8.20204327378428e-30	61.5343862834635	up
PDK4	-1.79545295187188	7.51133016923415	-12.9954133763641	8.38811892436818e-32	8.52740452433178e-30	61.4861489725868	down
RAB31	1.42817443695694	8.14239049753056	12.9951642202443	8.40659123709214e-32	8.52740452433178e-30	61.483972344988	up
AHNAK2	1.21468892174959	4.61079585770472	12.9784558335174	9.74252465303282e-32	9.82371235847476e-30	61.3380408930061	up
NPC1	1.05696950802103	6.9834110702362	12.9767189248358	9.89300757968622e-32	9.83044931521824e-30	61.3228744276052	up
AHR	1.05353020497489	8.54839382590791	12.9712640742009	1.03808395362104e-31	1.02239198688026e-29	61.2752479513135	up
CCDC141	-1.03009252740625	4.00150694638248	-12.9602809691665	1.14370218175803e-31	1.11990259878503e-29	61.1793752390529	down
MFAP2	1.07326860588242	7.14591439060378	12.9589736547283	1.15696696777066e-31	1.12638048471465e-29	61.1679654331943	up
LDHA	1.0055674680111	10.9329841097444	12.9490095607181	1.26323849346146e-31	1.21586704995665e-29	61.0810153210785	up
OCIAD2	1.09289829739255	7.74106085158474	12.9163133048675	1.68518468310966e-31	1.59480606323338e-29	60.795860928902	up
LIPH	1.45412661161487	5.92702544162191	12.9085362418759	1.80468859216531e-31	1.68902899178345e-29	60.7280719508395	up
MGLL	1.13574798994897	6.76482388113761	12.8913259050065	2.10003437896445e-31	1.95464738349768e-29	60.5781087189017	up
AOX1	-1.75256944799719	6.2891112352538	-12.8897408167193	2.12954754580119e-31	1.97128608884547e-29	60.5643005134502	down
BTG2	-1.15554403321288	7.45481845919533	-12.8759456580999	2.40450273281972e-31	2.21371066815033e-29	60.4441518716133	down
IGFL2	1.300743962715	4.71794905589544	12.8653225222286	2.64011847900142e-31	2.39324456487341e-29	60.351660950782	up
SHISA2	1.20318349324434	5.3317731446544	12.8338110076072	3.48322360522789e-31	3.0893093126995e-29	60.0774638850758	up
