	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
GSM711990	1730.1955576545	2067.70335979716	3797.89891745166	0.397069489605701
GSM711991	1346.99092080889	1652.57963157544	2999.57055238433	0.501651627401312
GSM711992	908.528816083909	1210.89758286255	2119.42639894646	0.608922820558738
GSM711993	687.273804648983	1387.21559455281	2074.4893992018	0.614141859756943
GSM1527105	724.969939975572	946.227419279234	1671.19735925481	0.659758041489313
GSM1527106	-582.216972042619	-176.692660598991	-758.90963264161	0.880638543412018
GSM1527107	726.103397977553	799.56197773887	1525.66537571642	0.675659666066473
GSM1527108	677.285510650005	1134.97081681855	1812.25632746856	0.64405775864994
GSM1527109	-269.50010843902	-177.922456439824	-447.422564878844	0.858062841018307
GSM1527110	1784.2589194612	2249.58634234836	4033.84526180955	0.365050860480795
GSM1527111	1581.39800495632	1726.30091418593	3307.69891914225	0.46202511524344
GSM1527112	1535.19834771593	2436.88310455961	3972.08145227554	0.373476271671082
GSM1527113	783.24744837844	538.18146901266	1321.4289173911	0.697454075235789
GSM1527114	1084.06305270237	1412.47722455388	2496.54027725626	0.564102560201176
GSM1527115	1170.4188799602	1143.17604401752	2313.59492397773	0.586070191803076
GSM1527116	1097.13149800083	1243.65445051761	2340.78594851844	0.582831518400534
GSM1527117	1284.46611143782	683.884686860754	1968.35079829857	0.62636242884751
GSM1527118	358.170067473065	807.963349547773	1166.13341702084	0.713607439615439
GSM1527119	590.618430806558	562.973510874002	1153.59194168056	0.71489589461549
GSM1527120	1591.27727404342	848.090307081249	2439.36758112467	0.571012166346717
GSM1527121	976.581444094826	1672.33991451647	2648.9213586113	0.545493813244234
GSM1527122	1558.39255809596	2120.2330243486	3678.62558244456	0.413076402485186
GSM1527123	1114.18876219631	1439.66058146965	2553.84934366597	0.557136601358875
GSM1527124	1307.91627872827	1891.37428121663	3199.2905599449	0.476078813871507
GSM1527125	1041.94186791604	1865.91580716352	2907.85767507956	0.513251720810749
GSM1527126	-266.444929810181	231.267962557307	-35.176967252874	0.825435187467172
GSM1527127	455.885875050065	1143.59068301878	1599.47655806885	0.667632731109684
GSM1527128	1751.40906401754	2566.11732046214	4317.52638447968	0.325978268196168
GSM1527129	933.125238337917	1280.20540134812	2213.33063968604	0.597931402694843
GSM1527130	-471.894407197712	43.8173033397617	-428.07710385795	0.85660107596195
GSM1527131	724.844381914009	600.810231165358	1325.65461307937	0.697009427928765
GSM1527132	518.177734302463	1213.66973380729	1731.84746810976	0.653041775863755
GSM1527133	863.26608692704	1426.0033892058	2289.26947613284	0.588959640695061
GSM1527134	1351.88046408927	2167.38587140834	3519.26633549762	0.434264539812925
GSM1527135	1388.90011510313	1809.98753997676	3198.88765507989	0.476130822457827
GSM1527136	-586.390221900464	-98.489654661083	-684.879876561547	0.875438125571569
GSM1527137	507.336019862964	1013.06229245177	1520.39831231473	0.676229436267356
GSM1527138	242.473910888478	911.124963633634	1153.59887452211	0.714895183035294
GSM1527139	85.5685882493456	417.572183955923	503.140772205268	0.778300069111509
GSM1527140	299.387719693101	741.661120165161	1041.04883985826	0.7263491297505
GSM1527141	1321.15127523018	1432.065356585	2753.21663181518	0.532599408368626
GSM1527142	1376.23426520541	1837.46327846476	3213.69754367018	0.474218009290892
GSM1527143	904.986597979002	1723.32042789553	2628.30702587453	0.54802740138035
GSM1527144	1189.25974121587	1731.16685773356	2920.42659894943	0.51166742268079
GSM1527145	1483.9505168142	2401.49738599407	3885.44790280826	0.385242364459365
GSM1527146	1325.88433983142	1527.95663740534	2853.84097723675	0.520040506879999
GSM1527147	1373.469197691	1699.54931402043	3073.01851171144	0.492296069603267
GSM1527148	1126.4730453495	1921.6866026735	3048.15964802301	0.495468969911052
GSM1527149	1503.92889956129	2056.64721959745	3560.57611915874	0.42879440967965
GSM1527150	-518.041406942492	-132.384934899056	-650.426341841549	0.872982556288612
GSM1527151	1264.54917591337	1489.12405681809	2753.67323273146	0.532542680478774
GSM1527152	700.526714840151	1029.6665473738	1730.19326221395	0.653225648175028
GSM1527153	370.954975336666	1035.66133837506	1406.61631371173	0.688438672620798
GSM1527154	-381.906987483943	11.7787591104565	-370.128228373486	0.852181104537891
GSM1527155	977.736789226405	1595.01125464764	2572.74804387404	0.554830781752878
GSM1527156	1491.78976024083	1904.84393872229	3396.63369896312	0.450408388363011
GSM1527157	1139.95829000165	1294.59648467575	2434.55477467741	0.571591989618889
GSM1527158	-101.80247892174	1262.27615515333	1160.47367623159	0.714189195732652
GSM1527159	1516.37593670878	2056.77312606797	3573.14906277675	0.427126395531358
GSM1527160	341.109248816209	926.258620051113	1267.36786886732	0.703118893573155
GSM1527161	1765.20991038491	2306.68402122424	4071.89393160915	0.359845532094536
GSM1527162	-77.6959065874067	251.29859358535	173.602686997944	0.807750484217701
GSM1527163	1160.77577849647	1589.66500891131	2750.44078740778	0.532944226519125
GSM1527164	-465.02325364235	-112.557854612451	-577.581108254801	0.867717303475964
GSM1527165	1218.1888254436	1417.45038346347	2635.63920890707	0.547126819053728
GSM1527166	1539.13491024871	1874.4763490923	3413.61125934101	0.448181980719636
GSM1527167	1367.05389725767	1196.95728142781	2564.01117868548	0.555897293445295
GSM1527168	751.731044384743	1167.96409894243	1919.69514332717	0.63191389064187
GSM1527169	919.796578905557	1055.15885172282	1974.95543062838	0.625606391283615
GSM1527170	333.507102605564	1044.4891341434	1377.99623674896	0.691479620027526
GSM1527171	1036.39197831057	2175.67289295219	3212.06487126276	0.474428991804941
GSM1527172	1929.51198330927	2011.16678772205	3940.67877103132	0.377748289849284
GSM1527173	1065.84285526091	864.201013338274	1930.04386859918	0.630735821919549
GSM1527174	938.2945472281	1162.41243875114	2100.70698597924	0.611100149163956
GSM1527175	1566.50969115392	1793.44158039077	3359.95127154469	0.455209288215252
GSM1527176	480.615673029571	1247.91643918712	1728.53211221669	0.653410253596419
GSM1527177	1185.0656141073	927.19592114897	2112.26153525627	0.609756738048328
GSM1527178	1206.00868864097	1585.3655808912	2791.37426953217	0.527850491180254
GSM1527179	964.524487965142	1346.5510502442	2311.07553820934	0.586369799428204
GSM1527180	1253.37947775554	1683.28021183453	2936.65968959007	0.509618684096594
GSM1527181	1203.62732909614	1475.94784841898	2679.57517751512	0.541717101222623
GSM1527182	734.772301152056	1111.30046159023	1846.07276274229	0.640252601110782
GSM1527183	1514.00402215897	1119.03495753605	2633.03897969501	0.547446267249746
GSM1527184	1733.51490300713	1617.74070078883	3351.25560379596	0.456345424435133
GSM1527185	178.668726864166	834.478717766271	1013.14744463044	0.729158042918889
GSM1527186	5.89935277319881	522.858117236205	528.757470009404	0.775933549537214
GSM1527187	694.121160488395	834.368882793626	1528.49004328202	0.675353938242489
GSM1527188	-502.376046192354	27.8539278420351	-474.522118350319	0.86009887629833
GSM1527189	1105.6401181032	1287.34017031288	2392.98028841608	0.576588772935388
GSM1527190	331.177457760731	855.578069625384	1186.75552738612	0.711483560571136
GSM1527191	1708.5852717189	2048.75666878185	3757.34194050075	0.402526285778376
GSM1527192	1332.53550711429	1652.06203485689	2984.59754197118	0.503551720065084
GSM1527193	904.13291395529	1219.41966529555	2123.55257925084	0.608442269315686
GSM1527194	698.372860828307	1401.70413865369	2100.07699948199	0.611173345211634
GSM1527195	1080.95669631504	1518.22877609056	2599.1854724056	0.551598005820238
GSM1527196	601.877156975326	1367.15173268216	1969.02888965749	0.626284834292055
GSM1527197	559.419409647622	1140.59288153595	1700.01229118358	0.656573624117794
GSM1527198	542.32117461362	746.647272552573	1288.96844716619	0.700860755833617
GSM1527199	1621.06121742405	1687.42959445062	3308.49081187467	0.461922022129024
GSM1527200	1681.28147793284	2670.08359292063	4351.36507085348	0.321278457612002
GSM1527201	-116.234831351634	450.411602942203	334.176771590569	0.793632066205122
GSM1527202	1475.38189283896	1347.45632152526	2822.83821436422	0.523922175244368
GSM1527203	873.81368184983	1400.09732481809	2273.91100666792	0.59078010036962
GSM1527204	1498.81998582573	1526.44585580615	3025.26584163188	0.498385222417234
GSM1527205	870.550591673652	1298.61264160341	2169.16323327706	0.603115441739441
GSM1527206	21.8648897393739	477.172508679675	499.037398419049	0.778678124938978
GSM1527207	634.667740408481	1040.81499222239	1675.48273263087	0.659285198877761
GSM1527208	-49.2365859408457	405.779705799361	356.543119858515	0.791630348587385
GSM1527209	1142.34810350324	1414.39243589987	2556.74053940311	0.556784125568332
GSM1527210	933.190593860419	1467.41185707132	2400.60245093174	0.575674277228405
GSM1527211	1047.64550886489	1416.48663202439	2464.13214088928	0.56802415422304
GSM1527212	1804.64092760049	1504.37485506277	3309.01578266326	0.461853674995902
GSM1527213	611.720827589358	1309.46205443737	1921.18288202673	0.631744620487778
GSM1527214	70.7870901805798	516.625934765063	587.413024945643	0.770473570512419
GSM1527215	991.66359144512	1309.22574037129	2300.88933181641	0.587580334260838
GSM1527216	1040.26306451536	1249.26160416346	2289.52466867882	0.588929367077826
GSM1527217	-120.223050181174	591.038785555187	470.815735374013	0.781270608999585
GSM1527218	374.38512261169	829.999459724208	1204.3845823359	0.709662767878549
GSM1527219	1844.08902815144	2260.85558595568	4104.94461410712	0.355314848186178
GSM1527220	941.12699422631	989.007359662479	1930.13435388879	0.630725514915255
GSM1527221	660.729422128496	1103.55797175191	1764.28739388041	0.649428166723411
GSM1527222	343.293729603743	489.49183871993	832.785568323673	0.747018462300177
GSM1527223	901.460924116341	1043.9765460893	1945.43747020564	0.628980767291385
GSM1527224	1592.24017423564	1699.6083426699	3291.84851690554	0.464087296168256
GSM1527225	1012.49405993704	692.491390292642	1704.98545022968	0.656022836451249
GSM1527226	545.86397864821	1270.95327421617	1816.81725286438	0.643545469267751
GSM1527227	469.997210238099	1102.99453845508	1572.99174869318	0.67052200769433
GSM1527228	1180.68485336303	1594.69847481826	2775.38332818129	0.529842671648306
GSM1527229	1237.43212745825	1508.38523350669	2745.81736096494	0.533518356696635
GSM1527230	2024.99662470599	1826.58891610774	3851.58554081374	0.38982453468356
GSM1527231	1941.22055314858	2562.08979555613	4503.3103487047	0.300078937622644
GSM1527232	1112.80931276054	1481.40326754358	2594.21258030412	0.552206728206161
GSM1527233	1.0954513287027	343.89713327924	344.992584607942	0.792665151880504
GSM1527234	501.452059506204	546.493553339004	1047.94561284521	0.725652932062067
GSM388076	1078.16791513821	3049.62222922315	4127.79014436137	0.352178221667596
GSM388077	1083.78488609952	3075.16481909177	4158.94970519129	0.347893724517148
GSM388078	-898.321418248295	-814.498666525733	-1712.82008477403	0.938144286994246
GSM388079	-820.970543924073	-866.133531334767	-1687.10407525884	0.936830598110876
GSM388080	-1149.78087725487	-736.287858091561	-1886.06873534643	0.946645299246198
GSM388081	-1123.80106479388	-781.353109022502	-1905.15417381638	0.94754444988553
GSM388082	-1047.23944690938	-824.415628903427	-1871.65507581281	0.945961320113142
GSM388083	1081.19142893166	3075.75770269078	4156.94913162244	0.348169026671221
GSM388084	-1065.68585802308	-830.627311691242	-1896.31316971432	0.947128857824791
GSM388085	2045.22724818504	2696.43877436215	4741.66602254719	0.266526683530146
GSM388086	699.094724610059	1359.14084719663	2058.23557180669	0.616023030850025
GSM388087	-143.226844389434	1762.73177491132	1619.50493052189	0.665441096168337
GSM388088	-68.4929043868702	1410.03272743345	1341.53982304658	0.695335514914164
GSM388089	-116.010763713377	1113.15629854748	997.145534834099	0.730763485121156
GSM388090	-44.0853139885373	181.737561523651	137.652247535114	0.810850206981216
GSM388091	2060.91844239262	2533.65211693277	4594.57055932539	0.287273815451345
GSM388092	-437.237738334694	-594.772979749213	-1032.01071808391	0.898919210985828
GSM388093	-95.885456589013	-12.4971590522733	-108.382615641286	0.831453351231203
GSM388094	-1033.64953859472	-833.789332640833	-1867.43887123556	0.945760445660231
GSM388095	-453.048635652968	-429.830070295225	-882.878705948193	0.889113903354357
GSM388096	1666.37094183335	1282.06123866819	2948.43218050153	0.508131096067056
GSM388097	1969.05527134714	2329.79385651883	4298.84912786597	0.328568890525011
GSM388098	-828.986279072932	-720.171656996363	-1549.15793606929	0.929556303358687
GSM388099	778.664435160801	604.065070679274	1382.72950584008	0.690977540398294
GSM388100	-573.126444963844	-640.699743878508	-1213.82618884235	0.910290279036253
GSM388101	-900.133291588408	-688.302373294346	-1588.43566488275	0.931666472984532
GSM388102	-343.382386202532	-528.889650593987	-872.272036796519	0.888400238220083
GSM388103	-716.975191755569	-672.278593167037	-1389.25378492261	0.920647356853421
GSM388104	1707.51232454155	3075.2023545588	4782.71467910035	0.260714369726571
GSM388105	1649.19109462962	2119.91638579656	3769.10748042617	0.40094473491303
GSM388106	-441.678896306813	963.294877583913	521.615981277099	0.776594398321553
GSM388107	-159.794957629255	1238.61794758611	1078.82298995686	0.722526893851145
