ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
FAP,2.017320659,7.224556896,13.34008728,3.95E-33,4.74E-31,64.51065614
NUAK1,1.114378104,6.715600187,13.28240275,6.59E-33,7.81E-31,64.0026493
IL1RN,1.496508584,5.589291374,13.25995624,8.05E-33,9.28E-31,63.80516497
LTBP1,1.092352359,6.947893862,13.22921416,1.06E-32,1.21E-30,63.53487424
PCDH7,1.14598435,4.963393054,13.22180513,1.13E-32,1.28E-30,63.46976341
TMC5,2.133255485,7.000587581,13.21412373,1.21E-32,1.36E-30,63.40227169
CD55,1.282230127,8.328564939,13.21043013,1.25E-32,1.39E-30,63.36982299
COL1A2,1.851587096,11.31041594,13.18446699,1.57E-32,1.72E-30,63.14181855
MXRA5,1.434991756,8.33454522,13.16997787,1.79E-32,1.93E-30,63.01464228
BGN,1.476861574,8.638499698,13.1624602,1.91E-32,2.05E-30,62.94867529
BHLHE40,1.038982428,7.222303559,13.12216289,2.73E-32,2.91E-30,62.59528511
LGALS3BP,1.030720796,8.129857737,13.10383192,3.22E-32,3.41E-30,62.43465122
TGM2,1.529567144,7.246629756,13.08357982,3.85E-32,4.05E-30,62.25727092
PLAUR,1.206440683,7.032877184,13.00093462,7.99E-32,8.20E-30,61.53438628
PDK4,-1.795452952,7.511330169,-12.99541338,8.39E-32,8.53E-30,61.48614897
RAB31,1.428174437,8.142390498,12.99516422,8.41E-32,8.53E-30,61.48397234
AHNAK2,1.214688922,4.610795858,12.97845583,9.74E-32,9.82E-30,61.33804089
NPC1,1.056969508,6.98341107,12.97671892,9.89E-32,9.83E-30,61.32287443
AHR,1.053530205,8.548393826,12.97126407,1.04E-31,1.02E-29,61.27524795
CCDC141,-1.030092527,4.001506946,-12.96028097,1.14E-31,1.12E-29,61.17937524
MFAP2,1.073268606,7.145914391,12.95897365,1.16E-31,1.13E-29,61.16796543
LDHA,1.005567468,10.93298411,12.94900956,1.26E-31,1.22E-29,61.08101532
OCIAD2,1.092898297,7.741060852,12.9163133,1.69E-31,1.59E-29,60.79586093
LIPH,1.454126612,5.927025442,12.90853624,1.80E-31,1.69E-29,60.72807195
MGLL,1.13574799,6.764823881,12.89132591,2.10E-31,1.95E-29,60.57810872
AOX1,-1.752569448,6.289111235,-12.88974082,2.13E-31,1.97E-29,60.56430051
BTG2,-1.155544033,7.454818459,-12.87594566,2.40E-31,2.21E-29,60.44415187
IGFL2,1.300743963,4.717949056,12.86532252,2.64E-31,2.39E-29,60.35166095
SHISA2,1.203183493,5.331773145,12.83381101,3.48E-31,3.09E-29,60.07746389
DKK1,1.70219321,4.764511627,12.82385886,3.80E-31,3.35E-29,59.99091523
GPX8,1.214666021,6.860827567,12.81632396,4.06E-31,3.56E-29,59.92540409
SGPP2,1.08098962,5.65869643,12.81135549,4.24E-31,3.69E-29,59.88221399
MELK,1.205426583,5.275539888,12.80183024,4.61E-31,3.99E-29,59.79942933
ADAM28,1.452055483,7.012869655,12.79739221,4.80E-31,4.12E-29,59.76086555
PLAT,1.697127405,8.329466174,12.7774546,5.71E-31,4.86E-29,59.58767962
ERO1B,-1.831242005,6.707783938,-12.73915562,8.00E-31,6.67E-29,59.25527342
SKAP2,1.042997577,6.769371527,12.73165738,8.54E-31,7.06E-29,59.19023673
ANOS1,1.059390317,5.038757617,12.72397603,9.13E-31,7.46E-29,59.12362632
LRRN1,1.250884258,4.842868987,12.69702411,1.16E-30,9.38E-29,58.89002326
SLC2A1,1.178276001,5.005877947,12.68547784,1.28E-30,1.03E-28,58.79000262
PMEPA1,1.064941087,6.496954813,12.68478644,1.29E-30,1.03E-28,58.78401437
NPR3,1.339103468,5.598276776,12.68022578,1.34E-30,1.07E-28,58.74451721
TNFRSF21,1.031009769,7.27874665,12.67994381,1.34E-30,1.07E-28,58.74207539
OAS1,1.25329269,6.172495817,12.67493673,1.40E-30,1.11E-28,58.69871846
SRPX2,1.469511539,6.44567461,12.67459284,1.41E-30,1.11E-28,58.6957409
MCOLN3,-1.006855619,4.565406625,-12.66584931,1.52E-30,1.19E-28,58.62004541
OAS2,1.249141063,5.681323717,12.59902468,2.73E-30,2.07E-28,58.04216247
ECM1,1.026325672,6.361252001,12.56473828,3.68E-30,2.73E-28,57.74610454
GABRP,2.387581945,6.030524359,12.51063733,5.89E-30,4.27E-28,57.27956858
COMP,1.927859595,6.541652233,12.50120703,6.40E-30,4.61E-28,57.19832496
ARL4C,1.231779534,7.095717069,12.4964894,6.66E-30,4.78E-28,57.15769051
TFAP2A,1.125643805,4.645675683,12.49476098,6.77E-30,4.84E-28,57.14280459
NMU,1.41667883,4.289259853,12.48326791,7.48E-30,5.32E-28,57.04384076
MSLN,1.468599417,5.31766617,12.4705814,8.35E-30,5.92E-28,56.93464091
FNDC1,1.714677602,6.311034588,12.46482174,8.78E-30,6.20E-28,56.88507827
BCAS1,1.263484183,5.383824767,12.4393707,1.10E-29,7.67E-28,56.66617379
COL3A1,1.853917474,11.00861542,12.36263848,2.13E-29,1.41E-27,56.00724471
COL1A1,1.676510937,11.08066379,12.35366923,2.30E-29,1.52E-27,55.93032567
COL5A1,1.389193185,7.498408296,12.32103401,3.06E-29,1.99E-27,55.65063449
TOP2A,1.462530345,5.363061586,12.30309458,3.57E-29,2.31E-27,55.49701316
TGFBI,1.328421673,8.640639078,12.29660861,3.78E-29,2.42E-27,55.44149326
TPX2,1.126569165,4.748074893,12.29009478,4.00E-29,2.56E-27,55.38574653
SLC39A10,1.030301888,6.707955155,12.28336303,4.24E-29,2.70E-27,55.32814705
RSAD2,1.108221992,5.303880685,12.28294443,4.25E-29,2.70E-27,55.32456572
CLDN18,2.342133349,6.405600961,12.2790922,4.40E-29,2.78E-27,55.29161062
FHL2,1.130116729,7.526812551,12.27478715,4.56E-29,2.85E-27,55.25478655
TTN,-1.009305337,4.365389637,-12.27124904,4.70E-29,2.93E-27,55.22452643
