	logFC	AveExpr	t	P.Value	adj.P.Val	B
FOXS1	0.175231856093201	4.41604734981586	3.93203735572606	0.000101473101896309	0.000174708237231779	0.316286422432317
CNRIP1	0.307516452389157	6.22012647954111	3.93187838223913	0.000101537398211427	0.000174801171311136	0.315689197937917
CRYGN	-0.12211718461088	4.2863202059112	-3.93131425317974	0.000101765870202452	0.000175176693550405	0.313570081453808
PHF13	0.142066986182603	6.44071319015372	3.92954133145809	0.000102487079123245	0.000176400235759782	0.306912020719962
PPM1K	-0.266953673783629	5.76126413058959	-3.92866011287493	0.000102847350973568	0.00017699107240705	0.303603700110902
APEX1	0.126978263243818	8.36466208409407	3.92865060033168	0.000102851246562869	0.00017699107240705	0.303567991288991
STAG3	-0.136843210149617	3.77370622345241	-3.92849913507685	0.000102913293660462	0.000177079857248168	0.302999421535858
MEGF10	-0.115173826218058	3.73740974688755	-3.92819224015584	0.000103039120646895	0.000177278357074792	0.301847461957414
FBXW8	-0.121408066613974	5.21869841390041	-3.92779148699072	0.000103203649075193	0.000177543395484287	0.30034332047196
UBAP2	0.162226641057451	7.23128717564738	3.92720781424244	0.000103443720267757	0.000177938324668542	0.29815288067265
ADAM32	-0.164775529996192	3.8029350191884	-3.92656156016774	0.000103710149315343	0.000178378508417292	0.295727929820749
CCDC148-AS1	0.173589536057203	3.38694338238614	3.92651122238605	0.000103730929187633	0.000178396136085127	0.295539061789593
C2orf49	0.124263760928424	6.42374098924426	3.92536817955099	0.000104203850721562	0.000179191273091387	0.291250946438417
OTULINL	-0.202129994483754	4.89194527496899	-3.92524114503144	0.000104256535864205	0.000179263674131104	0.290774448109298
ABCF2	0.155364315161708	5.77658312988143	3.92494302135706	0.000104380276130261	0.000179458223652352	0.289656260788031
ZNF644	0.175334126373223	5.61867958255707	3.92490332424731	0.000104396763450297	0.000179468355271771	0.289507372726763
FMN2	-0.207505170086132	3.3168339553124	-3.92467453192089	0.000104491835419331	0.000179613565905984	0.288649290630401
LOC728024	-0.125498749170374	4.65512287782189	-3.92453243948315	0.000104550921565522	0.000179696896440741	0.288116398185243
PUS7	0.190629878758382	5.82479616351507	3.92442193887004	0.000104596892803155	0.000179757671105351	0.287701997476582
TOMM40L	0.166050751228384	4.8648648934851	3.92413736267332	0.000104715372395895	0.000179943031891506	0.286634825636113
LINC00615	-0.0827552446976792	2.61191108284278	-3.9240188784493	0.000104764739252214	0.000180009603705498	0.286190526065568
TRIM10	-0.0879846236086326	3.23692781530355	-3.92381519450269	0.000104849656418541	0.000180137239323538	0.28542676794223
TTF2	0.128923991043429	3.90357362989875	3.92378355705851	0.000104862852127035	0.000180141640303415	0.285308139586977
GRIK1	-0.108333154485508	2.69244874794524	-3.92290360492952	0.00010523050397161	0.000180754891226838	0.282009005486383
NXF3	0.31428891004509	3.88328955432619	3.92267670823983	0.000105325501347571	0.000180899725522442	0.281158429760406
TMEM128	0.147225995992978	6.20453759588134	3.92263501284778	0.000105342967261504	0.000180911381327035	0.281002129654574
PICK1	-0.112288313476458	4.96443287393089	-3.92214702410161	0.000105547586560446	0.000181244411184385	0.27917295924659
ALKBH1	-0.10637066501139	5.74615155768115	-3.92134401695905	0.000105885116798081	0.000181805582663641	0.276163431734401
BREA2	-0.121238053295209	3.70530872114685	-3.92131374083949	0.000105897862833057	0.000181809039869463	0.276049973278415
CDH10	-0.243605195164291	3.64180071252648	-3.92085005504331	0.000106093253067954	0.000182126034350541	0.274312430919592
LHFPL6	0.349203202961281	7.59208010212931	3.91993702837991	0.000106478987897533	0.000182769688416679	0.27089165012981
PRDX5	0.14416162540264	8.62384669986857	3.91960848691331	0.000106618114726748	0.000182989955772149	0.269660902540872
IL36B	-0.0824633833451654	2.59649204617107	-3.91925503521834	0.000106767982587095	0.000183228611592077	0.268336944353201
SBNO1	0.166637635193371	5.57769870422983	3.91878320143513	0.000106968357044392	0.000183553886581443	0.266569721340146
ZBTB17	-0.111030141965103	5.10268844733107	-3.91747819278466	0.000107524414715671	0.00018448937357272	0.261682910381815
SLIT2	0.365564915172461	6.97782225575502	3.91730265273482	0.000107599420117478	0.000184599369737703	0.261025686692593
SOST	-0.134542576228358	3.61309341930487	-3.91706527900761	0.000107700924894275	0.000184754801793318	0.260137000000336
UPF2	0.123101238432333	6.39625669138814	3.91595473810367	0.00010817701625059	0.000185552719247164	0.255979979718493
SMG8	0.127763496678759	4.98764869387303	3.91589148328224	0.000108204193672326	0.000185580544781735	0.25574323428802
IL1R1	0.359869361860048	8.48100878095871	3.91392236364357	0.00010905346823241	0.000187018197191438	0.248375111902481
RCAN2	-0.235132134927228	6.63722905080492	-3.91265114163105	0.000109605092588401	0.000187945163320934	0.243620211098858
LDB1	0.146182638026203	6.17830356013905	3.91252899379869	0.000109658235474958	0.000188017257990465	0.24316340174627
TUBB6	0.273677105359402	7.90142030452968	3.91163610421018	0.000110047447290731	0.000188665495102214	0.239824563569438
BCAP29	0.17741267748555	6.19986498808348	3.91040131211761	0.000110587851877904	0.000189572779883798	0.235208378186631
WHAMM	0.14051241191827	6.10570437715654	3.9095489275998	0.000110962362224675	0.000190195529301426	0.232022576252698
C1orf35	-0.119347402101396	6.00116624663269	-3.90881164606408	0.000111287268854302	0.00019073313783811	0.22926748694573
TIRAP	-0.118320230592474	4.37742431741445	-3.90854338601299	0.000111405709670419	0.000190916815560637	0.228265165214365
PACRGL	0.142041176359834	5.01556277815746	3.90772973136538	0.000111765681171677	0.000191500398245065	0.225225427046301
CCNC	-0.16013540975181	5.0372968522462	-3.90772256401448	0.000111768856992264	0.000191500398245065	0.225198653065725
IRS2	0.193586183219923	6.39006877943732	3.90756019805039	0.000111840823520731	0.000191604323466948	0.224592139331053
UTP4	0.168884611246476	7.50711112977256	3.90726438068671	0.000111972053446157	0.000191809746726454	0.223487180807999
TOR2A	-0.125382806063729	4.94553252014267	-3.90665402844245	0.000112243277843639	0.00019225491675139	0.221207590965988
ABCB10	0.176953047581669	6.01471343682726	3.90657030297895	0.000112280531731258	0.000192299282936761	0.220894912208355
RNPEP	0.139173129685998	7.58408819974535	3.90635887551921	0.000112374659135228	0.000192441035761299	0.220105348504511
ZBTB25	0.157033125137784	5.04721779739655	3.90623897630129	0.000112428071419964	0.000192513042540604	0.219657609161918
UBE2V2	0.130007481292221	7.63197306933468	3.9061672729167	0.000112460025083919	0.000192548294412936	0.219389853413859
IGFBP4	0.345725756274947	8.69884208877971	3.90613494520449	0.000112474434314401	0.000192553503515508	0.219269136306888
POLA2	0.136229717536727	5.14144622346066	3.90609279251303	0.000112493225398892	0.000192566212435048	0.219111732452411
ORAOV1	-0.105106780301614	4.8596820658985	-3.90562456460218	0.000112702154987541	0.000192904365513686	0.217363410739833
CEBPG	0.238664059823753	6.10817421162165	3.90453849341604	0.000113188190594481	0.00019371670526071	0.213308856157489
DSE	0.221261265723719	4.6081542956542	3.90415874205831	0.000113358603887207	0.000193988761475835	0.211891400463911
VBP1	0.155445446010981	6.72495919454204	3.90396806048979	0.00011344426380366	0.000194115740286263	0.211179712210176
PEX16	-0.104954381325699	4.49279553132329	-3.90338907371477	0.000113704738037798	0.0001945417899566	0.209018932507363
PGM3	-0.209842588713592	6.8792037127294	-3.9023895427546	0.000114155740102362	0.000195293702013129	0.205289372336106
ZNF84	0.150410146112933	6.28076217541682	3.90158463173108	0.000114520158110801	0.000195897352155606	0.202286635853629
CHDH	-0.194904033303969	3.89727108678118	-3.90105207726595	0.000114761873941232	0.000196291008134539	0.200300242963518
TBX3	0.293201351608809	5.31862735050527	3.90097960942695	0.000114794802973349	0.000196312925381938	0.20002996193298
FASTKD3	0.186048244008144	5.58385875613563	3.9009728709954	0.000114797865338458	0.000196312925381938	0.200004830049645
CCL25	-0.389955700300338	3.74099681991997	-3.90017972065739	0.00011515886357825	0.000196910381449031	0.197046947570414
PREX1	0.302908002995924	5.9318503904387	3.89955624657723	0.000115443389074228	0.000197376969208461	0.194722222967844
RFX3	-0.126199910646962	4.03043499809111	-3.89822899716163	0.0001160513048637	0.000198396316923107	0.189774491997287
CLDN3	-0.423974101605332	6.0468895229294	-3.89772034083544	0.000116285085724523	0.000198775918483696	0.18787872811379
URB1-AS1	-0.11554159734488	4.90345172378876	-3.89674569452727	0.000116734284456489	0.000199523638249714	0.184246851533398
SARS	-0.11363866256172	8.45877898582077	-3.89615016559296	0.000117009562432478	0.000199973969693923	0.182028110085261
TMEM134	-0.103095278358773	4.76296538147409	-3.895629778311	0.000117250610055936	0.000200365715156618	0.18008957579743
MYADML2	-0.121449248356379	4.37262326414124	-3.89506824875669	0.000117511242600215	0.00020079084624245	0.177998045581041
ARL5C	-0.100708509574503	3.5850166367272	-3.89410419687674	0.000117959984907102	0.000201537281323883	0.174407884342412
STAT5A	0.158717273897913	5.6865815341382	3.89395499878733	0.00011802957776822	0.000201635845844459	0.173852338505404
HMOX2	0.12791656574086	6.78484147834391	3.89356147035286	0.000118213324132628	0.000201929384975972	0.172387111196248
PLPP3	-0.236690032095391	7.56708165893575	-3.89332972548229	0.000118321657186309	0.000202094058553747	0.171524317338811
HCRT	-0.111592747044005	3.59184859402539	-3.89298655656563	0.000118482249993185	0.000202347949882504	0.170246774541145
KLF2	0.334391119098066	7.57889340465307	3.89290637259711	0.00011851980343404	0.000202391680460952	0.169948282050376
UNC13D	0.172171322739814	5.15086280698337	3.89235545911777	0.000118778123733484	0.000202812359242538	0.167897606358927
PLSCR2	-0.10183517363604	3.10714440481024	-3.89170132136725	0.000119085537696518	0.000203316771676983	0.165463042583295
ANAPC5	-0.106989363055942	8.47271915143812	-3.89161891112893	0.000119124320025691	0.000203362489291061	0.165156355538579
DNAH5	0.227667357899051	4.55322262947071	3.89128720040601	0.00011928054436684	0.00020360866803449	0.163921965004454
ORAI1	-0.157578542299436	5.65376747983197	-3.89126126432579	0.000119292767542671	0.000203609015836056	0.163825453494012
FGD3	-0.132562493601306	4.21565086671048	-3.89118297071425	0.000119329673010972	0.000203651487085015	0.163534116412618
PIGT	-0.138706548866963	6.60478436653246	-3.89094331566683	0.000119442707057469	0.000203823859932862	0.162642373330934
SGSM3	-0.13002817286601	5.6130675083438	-3.89082070634234	0.000119500575322537	0.000203902069496754	0.162186170338539
SMARCE1	0.161648396996248	8.37947236150957	3.89052827830871	0.000119638700584309	0.000204117190844818	0.161098161575032
FBP1	0.342711865726402	7.25755643948424	3.89037765580781	0.000119709904490139	0.000204218104940882	0.160537784231291
SERTM1	-0.228357587009175	3.65962363019604	-3.89023872994328	0.000119775614607916	0.000204309627576085	0.160020940798811
MTMR9	0.135274888291085	5.77058234231159	3.89001561904957	0.000119881214618288	0.000204469167905135	0.159190940710299
REEP5	-0.147527022352442	8.54505814155182	-3.88979860500354	0.000119984013519755	0.000204623899025938	0.158383663527775
TRAF3	0.155512414695624	5.49928082185437	3.88974599672529	0.000120008946470033	0.000204637262179346	0.158187970605086
KLF10	-0.213535498972567	8.20013968941547	-3.88973109582988	0.000120016009430449	0.000204637262179346	0.158132542511508
CCHCR1	-0.0988567912018833	5.30272505157352	-3.88936549566443	0.000120189425690434	0.000204912326006033	0.156772650323541
CCDC142	0.123918688181133	3.99062943369436	3.8892343633626	0.00012025168387484	0.000204997838868853	0.156284917090659
CLEC4F	-0.145515572325996	3.99832147980391	-3.88831339776048	0.00012068979535354	0.000205724002142179	0.152859904270216
FDPSP2	0.126326878924488	4.02666490846677	3.88780291845652	0.00012093328546267	0.000206118307247975	0.150961784459345
ZFAND1	-0.200890246876194	7.74798204057714	-3.88748550562976	0.000121084920528703	0.000206355991323565	0.149781660714508
IGHV7-81	-0.105984595551047	2.72402052176434	-3.88729448897358	0.00012117626012127	0.000206490880842402	0.149071513694802
LOC93622	0.150343426155671	5.26714861351022	3.8871748451201	0.000121233504172172	0.000206567648428546	0.148626727286791
JHY	-0.114206603504624	3.82502599195306	-3.88679873094715	0.000121413624217455	0.000206853745775287	0.147228571982741
GSPT1	0.165383078091255	7.90210223640664	3.8863426237639	0.000121632392644554	0.000207205624637847	0.145533219582825
ARRDC1-AS1	-0.101568215718786	4.55165437297455	-3.88588601661835	0.000121851774674095	0.000207558477926513	0.143836191597242
PLIN2	0.409359373887298	7.82622224116935	3.88576998352496	0.000121907583745153	0.000207632663245816	0.143404971669256
ULK4	-0.102223721000897	3.83241357941994	-3.88557336869	0.000122002205908286	0.00020777293335542	0.142674308509738
HRH2	-0.140111385346642	3.93537146296607	-3.88525150688159	0.000122157254092754	0.000208016072007565	0.141478273758591
NPFFR1	-0.129291513192225	4.42436353101966	-3.88515594283527	0.000122203325383497	0.000208073608603522	0.141123176365864
ZNF546	-0.112086088084801	3.56551361710337	-3.88486498947015	0.000122343694897605	0.000208291677544264	0.140042099626268
RHAG	-0.0671447046262555	2.85509840528773	-3.88472945451579	0.000122409135405729	0.000208382147902024	0.139538526451433
C12orf74	-0.100854039697893	3.05500449301917	-3.88465126973334	0.00012244690053135	0.00020842549186104	0.139248042229434
BOK	0.18576859905544	5.97351454077204	3.8841737650159	0.000122677786286425	0.000208797518305238	0.137474059079714
TMEM14A	0.1737296598121	7.59551006422918	3.88246377867254	0.00012350799394195	0.000210189413037637	0.131122910369091
LILRA1	-0.109093253893778	3.62259015557956	-3.88122845021726	0.00012411105881665	0.000211194508925569	0.126536309178647
IFNAR2	0.200144100045266	6.73430713300977	3.88103734601667	0.000124204601023067	0.000211332456943628	0.125826885692596
SEC61G	0.164071492846279	8.24278454499045	3.87949187507154	0.000124963538547715	0.000212602424726152	0.120090913607333
GABRR1	-0.0849323091070641	2.93488833705715	-3.8783242011809	0.000125539859692157	0.000213561480536768	0.115758514744653
RMDN1	0.171996328562895	6.26078181937239	3.87769687882384	0.000125850521126362	0.00021406846348836	0.113431466300415
VIRMA	0.122005854120966	6.70615923229512	3.87712840791342	0.000126132666637163	0.000214526844662002	0.111323025237417
SEC24B	0.149246094449681	8.19122618575094	3.87561722651427	0.00012688561589335	0.000215785797935283	0.105719479248847
TEX49	-0.100619880478965	2.48267247926971	-3.87485699294131	0.00012726601044188	0.000216410983425562	0.102901248071505
MYBL1	0.366827158816619	4.22001016787132	3.87437460337603	0.000127507940962414	0.000216800614263102	0.101113264285326
PPAT	0.220967031974881	5.38512905933321	3.87402271038316	0.000127684698690573	0.000217079365296899	0.0998090967579026
CSRP2	0.237548768322111	6.79910050744153	3.87344097619799	0.000127977415590243	0.000217533961516202	0.0976533421388011
ZNF821	-0.0982330765230424	4.11897743302978	-3.87344026832403	0.000127977772164726	0.000217533961516202	0.0976507191242
APOF	-0.116805809986248	2.76484385511969	-3.87270378893182	0.000128349265807769	0.000218143529927121	0.0949219458771182
FAM217B	0.180520576739342	4.96438729219935	3.87258144045399	0.000128411079388533	0.000218226693904669	0.0944686714379888
RIPPLY2	-0.105021474671327	3.47265665966597	-3.87151432867454	0.000128951407415964	0.000219122965355243	0.0905158121105876
SRMS	-0.105677826816972	3.58491335183926	-3.87110446205916	0.000129159513237031	0.0002194522735791	0.0889978254125205
NBAS	-0.108877746680401	6.9701548803616	-3.8710816385893	0.0001291711109715	0.0002194522735791	0.0889133004831777
RHOB	0.262495078902813	6.81115666037822	3.87075684169641	0.000129336263197783	0.000219710820153474	0.0877104902495391
CCDC88B	-0.118925195631903	4.97046396916458	-3.87043256296708	0.000129501351300512	0.000219969205959157	0.0865096913212211
TINF2	0.126527871185953	6.4905547220442	3.87020750898623	0.000129616041967606	0.000220141944147909	0.0856763743207072
OR5J2	-0.072832361737724	2.66493406059913	-3.86952732946832	0.000129963255585641	0.000220709528784035	0.0831581148567588
HDC	-0.236200306638014	4.23179551786807	-3.86916461202418	0.000130148772908625	0.000221002427132328	0.0818153757047861
CD79A	-0.268668971461256	5.33985841785303	-3.86760634174439	0.000130948628684242	0.000222338355208085	0.0760481488746967
CHM	0.137104535349895	4.24701728395213	3.86621922502465	0.000131664543315641	0.000223531505689211	0.0709161629327753
C8orf33	0.1572654454959	6.52898759590892	3.86596073494896	0.000131798363222594	0.00022373338050233	0.0699600009150236
ZNF627	-0.121743044198683	4.50229881600742	-3.86593852663247	0.000131809866435257	0.00022373338050233	0.0698778544690111
TMEM108	-0.116236316059099	3.28025756684874	-3.86580855375684	0.000131877207368765	0.000223825257271504	0.0693971058761358
MYCN	-0.12651358849915	3.98082582568258	-3.86409134951565	0.000132769979256946	0.000225317917112068	0.0630468388929737
ZNF706	-0.148495782501302	8.81159782167599	-3.8633202057037	0.000133172753811389	0.000225978808931678	0.0601959713357862
ARIH1	0.147291207905422	5.60789826372758	3.86310314844895	0.000133286332894105	0.000226148886140439	0.0593936192663707
TMEM139	0.308518157005456	4.87972354881872	3.86249794995994	0.000133603498067891	0.000226664322210322	0.057156721836412
MBOAT7	0.146097526087735	6.75361622804975	3.86161558278296	0.000134067198339867	0.000227428233514655	0.0538959471187601
ROS1	0.246841000067852	3.08160213273524	3.86152124104266	0.00013411686668124	0.000227489708779433	0.0535473491042868
ICE1	0.162366274778875	6.6372693248842	3.86116631980541	0.000134303878991302	0.0002277841119456	0.0522359653000235
MGAT4D	-0.059788290251897	2.32275443832048	-3.86099426687829	0.000134394624537776	0.00022791520068775	0.0516002938836158
C3orf35	-0.093244024952886	3.40401212071003	-3.86082233103809	0.000134485366282355	0.000228046256739048	0.0509650810419862
STXBP1	-0.216887248943572	7.0382011010459	-3.86056393244771	0.000134621849088017	0.000228254841712642	0.0500104824919383
BCL6B	-0.159001071970132	4.7253255465309	-3.86045163942639	0.000134681201656872	0.000228332621704105	0.0495956581314809
PRPF38A	0.132478339709935	6.72467525006974	3.8589678600846	0.000135467783060792	0.000229643174727291	0.0441154334883302
UGDH	0.256612931641291	7.82352159806849	3.85745854810805	0.000136272357797872	0.000230983964488289	0.0385428908523116
NR4A1	-0.393713962552804	7.37080382015883	-3.85712523596125	0.000136450646197835	0.000231263026172219	0.0373125363126512
PYCR1	-0.189017098039949	6.09344125770551	-3.85676503755212	0.000136643564129752	0.000231566824365546	0.0359830463269324
DYNLRB1	0.0944224532601767	5.03852303244101	3.85596487800588	0.000137073043663607	0.000232271417391367	0.0330300706436564
SLTM	0.161350195838452	7.82733289857816	3.85386709152449	0.000138205085532412	0.000234166248141535	0.0252908956420814
ST3GAL3	-0.126489391372017	3.77919649835634	-3.85317541212267	0.000138580275690328	0.000234778464865902	0.0227399930013643
COL15A1	0.312807561270136	7.8321513074663	3.85073301169145	0.000139912838411874	0.000237012348269714	0.0137358236116354
DISP1	0.198021781212656	5.17320869456596	3.85040717381928	0.000140091527744008	0.000237291318866463	0.012534984081773
DZIP1	-0.243809224532444	6.38383586186314	-3.85002909818986	0.000140299134789333	0.000237619210491032	0.0111417450550082
CDH20	-0.100066739053585	3.08757914141817	-3.8498954303869	0.000140372603408192	0.000237719874211213	0.0106491985485748
SNORC	-0.158317687853179	4.0196774452147	-3.84936885798746	0.000140662380690727	0.000238186798170823	0.00870900831688726
ASGR2	-0.0954939085119077	4.3191534276544	-3.84924206824366	0.000140732238642975	0.000238281271625387	0.00824187968396561
SGSH	-0.111164155365595	5.23106913991338	-3.84906014894668	0.000140832528913113	0.000238427247630236	0.00757166315492785
ABCG5	-0.380138881379232	3.3823499575882	-3.84863402429374	0.000141067711825063	0.000238801542751731	0.00600187332306046
SLCO5A1	-0.134932035805419	3.33879869136636	-3.84848857077092	0.000141148074241085	0.000238913706798958	0.00546607732117632
GPR153	0.142142779100028	5.68937226046457	3.84786873291705	0.000141491017550766	0.00023947026049655	0.00318303665128195
ADCY7	0.157167203922071	4.48901896305815	3.8472771158062	0.000141819081903466	0.000240001523221249	0.00100425620265465
TMCC3	0.244717135816171	5.64402256468075	3.84716512136438	0.000141881266151989	0.000240082773810278	0.000591842840591106
OR10J1	-0.0974927632606906	3.06392019866421	-3.84657266600999	0.000142210652759376	0.000240616106446647	-0.00158965784929688
ARMC6	-0.121551721660765	5.19726065232737	-3.8460521466269	0.000142500641958191	0.000241064590158608	-0.00350602583055437
PLPBP	-0.156166868787532	7.26595243109559	-3.84604580252193	0.000142504179802143	0.000241064590158608	-0.00352938110797663
FAM185A	0.215873359408718	6.2689080667228	3.84539955636057	0.000142865000015651	0.000241650833775848	-0.00590829537612425
CEP68	-0.118246551861997	4.48194692180837	-3.84436930882087	0.000143442007962565	0.000242602597332852	-0.00970000798249693
TOR1AIP2	0.16630490255302	5.18498646011804	3.84427163927195	0.000143496823711586	0.000242671078533919	-0.010059421553998
FOXO4	-0.138253456609866	5.45060827626709	-3.84376435856046	0.000143781847143071	0.000243128817189422	-0.0119260257574343
HRASLS	-0.142218987726673	3.49495474370595	-3.84321995369833	0.000144088324933111	0.00024362273923215	-0.0139289812131889
DNAH6	-0.130382249552144	3.19116130846547	-3.84312442593897	0.000144142166851307	0.000243689451742628	-0.0142804167405224
ZNF45	0.14631757599598	4.18054381151838	3.84290637584226	0.000144265136823006	0.000243873008460405	-0.0150825676382285
DACH1	-0.271663856253003	4.7097391024379	-3.84257290128229	0.000144453392656603	0.000244166880024232	-0.0163092549137218
CHRDL1	-0.549715158068878	6.59357448162987	-3.84222969622051	0.000144647384211209	0.000244470386963771	-0.0175716337255825
TDRD1	-0.221718950012694	3.0516644109465	-3.84123392690086	0.000145211623348162	0.0002453995310772	-0.0212336916498019
ADH4	-0.241164936228893	4.78474812844789	-3.84111251029566	0.000145280564610846	0.000245491547581819	-0.0216801557250426
VPS11	0.105879068648477	6.2229440967837	3.84097948994703	0.000145356130097274	0.00024559473806581	-0.0221692733314445
BTN3A1	0.190691378084882	5.47719431778737	3.84018394529532	0.00014580883528092	0.000246335062297675	-0.0250941767384818
OAZ1	0.131608289476772	10.1856996659172	3.8398764569211	0.000145984168733818	0.000246606683122344	-0.0262245408183794
CCBE1	-0.116851005368748	3.70634386840868	-3.83948951868806	0.000146205088733748	0.000246955250089709	-0.0276468538877479
BRF2	0.152967846876746	5.03942389150102	3.83932301602587	0.000146300249659619	0.000247091348876764	-0.0282588462071311
CCDC80	0.456186754574435	8.07575080060593	3.83899345003503	0.000146488778560498	0.000247385097080535	-0.0294701174093657
NRDE2	-0.0865678567250884	3.82326557439063	-3.8389503801843	0.00014651343372362	0.000247402070103482	-0.0296284072340294
COA7	-0.114538903510837	5.30968043846688	-3.83843824791665	0.000146806902679055	0.00024787291252698	-0.0315104648178126
RIPK4	0.272947089628748	6.50444482803637	3.838076729201	0.000147014399607852	0.000248198517974588	-0.0328388870251342
SNX5	0.132169827997585	7.51893697667528	3.8377037155416	0.000147228784832873	0.000248535686603774	-0.0342094275472773
LRRN3	-0.219449769583123	3.86180654276366	-3.83718458338615	0.000147527641994122	0.000249015370205303	-0.0361166382574671
PQLC1	-0.121804512904789	6.20209373057231	-3.8370414426895	0.000147610146936576	0.000249129808618671	-0.0366424731802137
NOL7	-0.153390949589486	4.81438372662915	-3.83665502842375	0.000147833090381138	0.000249481226445156	-0.0380618963958366
COQ3	-0.127468669353395	4.67669319939567	-3.8359541162212	0.000148238297598787	0.000250140129626801	-0.0406362358066445
TRERF1	0.141361972368863	4.55547297717925	3.83581045636599	0.00014832147896396	0.000250255563112499	-0.0411638222939406
PZP	-0.114820584651178	4.04752433270622	-3.83558887805388	0.000148449862904562	0.000250440679388799	-0.0419775263541817
FADS3	-0.180557273935905	6.27026858693048	-3.83557007620661	0.00014846076165421	0.000250440679388799	-0.0420465705609923
SIVA1	-0.119623961069171	5.95369073230992	-3.83546869996844	0.000148519538824765	0.000250514884764664	-0.042418839362667
BRD3OS	0.150709223804121	4.64496942111757	3.83501647290002	0.000148782004735748	0.000250932612527237	-0.0440793750431636
CBX7	-0.158921994008011	6.05116915701195	-3.83395652283418	0.00014939890374549	0.000251947977048144	-0.0479707076393154
ME2	-0.20436649777578	7.79416306790449	-3.83345928583372	0.000149689132110367	0.000252412293246029	-0.0497958439702968
GSTM1	-0.289150525229819	5.54087111903112	-3.83325068191758	0.000149811049153664	0.000252592731428593	-0.0505614715584288
LINC00161	-0.0836560811987529	2.6179747647513	-3.83289283084088	0.000150020411309273	0.000252910560149973	-0.0518747836570528
TRIM24	-0.165077903076534	4.82788917600577	-3.83287745909945	0.00015002941079971	0.000252910560149973	-0.0519311953650243
NPTXR	-0.165732848434848	4.79945847246639	-3.83237830268249	0.000150321922864163	0.00025337844510636	-0.0537629025028092
MIA3	-0.129647335634169	4.74701533025598	-3.83231612672158	0.000150358396516986	0.000253396573481192	-0.0539910483906718
ZNF496	-0.105812391394414	4.33948868069977	-3.83230897082886	0.000150362594842558	0.000253396573481192	-0.0540173057077995
DGKD	0.196076637366126	6.09204487183295	3.8320322348321	0.000150525039479833	0.000253645097860178	-0.0550327062548863
LYPD4	-0.0849403649938937	2.96726611988579	-3.83131299028177	0.00015094801397673	0.000254332539960792	-0.0576714452149316
C8orf59	0.183811497825459	5.56105860604878	3.83091067319348	0.000151185099072222	0.00025470667113709	-0.0591472533076276
KIRREL1	0.20598995488395	4.6997425025934	3.8307913977771	0.000151255455597037	0.000254799862551095	-0.0595847604700728
MGAT1	0.151112736815104	6.79008928858972	3.83023517798024	0.000151583959744168	0.000255327859010262	-0.0616248323148945
IGFBP1	0.406890302845701	4.27740533688832	3.82912942795109	0.000152239021481295	0.000256405749044853	-0.0656796314433796
SRP19	-0.150243792824463	7.62083363032097	-3.82892449665602	0.000152360719214786	0.000256585205636592	-0.0664309988145959
CTR9	0.170978098320822	7.75911154514029	3.82887855361339	0.000152388014947469	0.000256605663340966	-0.0665994409421584
GGA1	0.138022192416271	5.26664760565676	3.82871365132561	0.000152486024961485	0.000256745180682592	-0.0672040110227776
NDUFAF6	-0.122444370423213	4.03950026121223	-3.82819157555687	0.000152796714903925	0.000257242730120501	-0.0691179041355028
EFCAB7	0.17205210857272	4.82851626481412	3.82812773228437	0.000152834749398372	0.000257281193958901	-0.0693519326219549
SIRT3	-0.117579005828057	5.8596985512516	-3.82749341198383	0.000153213130909961	0.00025788105620411	-0.0716769477176404
ATG4B	0.101470942171232	5.61807573368936	3.82747933740386	0.000153221536640754	0.00025788105620411	-0.071728532165352
C6orf120	-0.160841841739197	6.16271858180728	-3.82726643977103	0.000153348738214555	0.000258069503810308	-0.0725087975370027
GRID1	-0.102710649886297	3.90689610239633	-3.82707718351316	0.000153461898403168	0.000258234286177577	-0.0732023842548157
PTPRJ	0.15625799120625	4.88116673729429	3.82685608925068	0.000153594195159388	0.000258431234207392	-0.0740126110117929
TMEM170A	0.158495707736712	6.72348717762597	3.82633127482881	0.000153908661573765	0.000258934623801726	-0.0759356847966233
POLR2D	0.126110396170009	5.54578036801321	3.82619252148104	0.000153991903617351	0.000259048942132862	-0.0764440771713533
TBC1D13	-0.122827497281512	5.52631458227636	-3.82522120789964	0.000154575814848256	0.000260005392069254	-0.080002496141014
PAK1IP1	0.176511562403336	6.0255290188568	3.82420331625343	0.000155189972287227	0.000261012522889756	-0.0837306628315817
GNB3	-0.118896086802358	4.84499000066338	-3.82360119041429	0.00015555435732179	0.000261599405641927	-0.0859356011213483
TMEM53	0.12545043772168	5.07494958718241	3.82236993622107	0.000156301987451807	0.00026283062015422	-0.090443364724079
ELAVL4	-0.238173119934749	4.05507226448581	-3.82205769076375	0.000156492125243964	0.000263124228449901	-0.091586319102464
TRMU	-0.102200681638946	5.66801606089092	-3.82148777851477	0.000156839729657149	0.000263682514925774	-0.0936722247465189
MRPL18	0.126939594893449	7.4378047950277	3.82126269679117	0.000156977213817193	0.000263887466712638	-0.0944959556338283
CFAP221	-0.443177241172644	5.0130121248369	-3.82100118683475	0.000157137092081431	0.000264130019831261	-0.0954529467663505
LY6H	-0.190518630641241	4.02140821860058	-3.82071217432321	0.000157313963497593	0.000264401085588772	-0.0965105129412747
TNRC18	-0.135177981312186	4.2232320198596	-3.82018287462526	0.000157638375109921	0.000264920047059728	-0.0984471568491188
