	logFC	AveExpr	t	P.Value	adj.P.Val	B
P4HA1	1.07434159468505	7.52744502151553	14.0751439939356	5.37279006535309e-36	1.07076545537743e-33	71.0425396565037
TMSB10	1.07979214545525	11.3890737992727	14.0581951202966	6.26292162212118e-36	1.23364991021782e-33	70.8907901991394
ITGB5	0.972606140956169	6.54364753879795	14.0486017232212	6.83048155928837e-36	1.32998112200397e-33	70.8049192419447
FLNB	0.929850878761966	7.91045501978712	14.0394445066652	7.42003984798394e-36	1.42835767073691e-33	70.7229676010804
COL12A1	1.98308638035279	8.66137447897082	14.0350310872876	7.72205380972804e-36	1.46651111546292e-33	70.6834753823612
CD109	1.5871177103134	5.81953904512105	14.0340423064392	7.79138136904742e-36	1.46651111546292e-33	70.6746280299774
ADAM10	0.752963041284195	8.91781413117988	14.0192003823186	8.90984575460524e-36	1.65860205585728e-33	70.5418470775693
ANLN	1.56728734872641	4.46315752918932	13.9986233995919	1.07302197375975e-35	1.97576002559676e-33	70.3578227642544
NET1	0.820257267798446	7.82457314799683	13.9914186343258	1.14517130221761e-35	2.08593568382433e-33	70.2934067951069
ENO2	1.25407555149869	5.63255150517648	13.9774302404867	1.29936373273517e-35	2.34161932260998e-33	70.1683665614298
JUP	0.990342957267459	7.35012554816312	13.9639898137298	1.4669919677207e-35	2.61587830875671e-33	70.048257501555
PFKP	1.2034448796607	7.05529703805598	13.9512694714627	1.64546453110025e-35	2.90355928717066e-33	69.9346132873434
HOXB5	0.823437049062612	4.75078843804228	13.9456818527099	1.73056020626896e-35	3.02223607156662e-33	69.8847024180696
CST1	2.30595596621112	6.35606191245964	13.942616441864	1.77909522396244e-35	3.07529317284937e-33	69.8573233232946
PIAS3	0.73650980198921	5.97170436111523	13.9248130246901	2.0890615802923e-35	3.5746164818335e-33	69.6983435260256
SCAMP5	-0.677915313850604	5.34071877133468	-13.9029616711099	2.54406790915021e-35	4.30965103810045e-33	69.5032954542896
FXYD3	1.31722425291722	7.05235195112881	13.8550688036248	3.91707193376014e-35	6.56982163939572e-33	69.0761033998353
ACTN1	1.05011871156236	9.00216087511265	13.8517235749222	4.036886668103e-35	6.70439805467302e-33	69.0462806327611
RAI14	1.11497772853694	7.117154282722	13.84939828121	4.12231826310807e-35	6.77981275505346e-33	69.0255518249074
EPHX2	-1.27154815230487	5.31142506274936	-13.8007354640501	6.38818329407273e-35	1.04053677886146e-32	68.5919788604899
CAP1	0.949730794615435	9.62514694875948	13.7825641451672	7.52254297810514e-35	1.21363693380096e-32	68.4301910853073
COL17A1	1.55138335823318	5.0481267620119	13.7535684979339	9.76297018330045e-35	1.56023315948217e-32	68.1721586797656
CSTB	0.842665903673714	10.100511207543	13.7271404552175	1.23797945961067e-34	1.95994131269202e-32	67.9371149841769
COL5A2	1.90964701823029	8.47459279227122	13.674397627503	1.9877461301245e-34	3.11781661521381e-32	67.4684368105022
CTHRC1	1.98064598474244	8.3098179623307	13.6706751651842	2.05525741133347e-34	3.19413399522835e-32	67.4353790157013
SPOCK1	1.22710604827088	5.82925148387261	13.668200008368	2.10140863509749e-34	3.23616929805013e-32	67.4133995702318
SFN	1.22421234853742	5.58675117999027	13.6631503857615	2.19879348667161e-34	3.3556361859655e-32	67.3685625227336
PDLIM7	0.963651915889833	5.92295952656313	13.6486569016763	2.50403744807689e-34	3.78735664021629e-32	67.2398984264628
COL8A1	1.50617696555629	4.94311827426546	13.6430092384404	2.63411853208098e-34	3.9488467197745e-32	67.1897731530811
S100P	2.3315776031034	6.81261427668535	13.6166583678315	3.33596444300963e-34	4.95712611092834e-32	66.9559816398421
AEBP1	1.5412914230716	8.31347177212662	13.5825714514989	4.52727129029149e-34	6.66886744848155e-32	66.6537580524293
CALU	0.951213371875835	7.78684461699053	13.5703420728737	5.05115313824845e-34	7.37642535878697e-32	66.5453856316757
SAMD9	1.11578958229715	5.50680158207798	13.5561039998825	5.73771632091125e-34	8.30742858771253e-32	66.4192506520005
XAF1	1.11717385592501	6.59714083805361	13.5437329644812	6.40937190565928e-34	9.20125085439561e-32	66.3096888602116
GAPDH	0.953327004650195	11.0789006512168	13.5305373515369	7.2124307621957e-34	1.02671073203021e-31	66.1928584107325
SLC6A6	1.11880688546855	5.43857606183133	13.5262253441774	7.49602299713822e-34	1.05818857976268e-31	66.154688686066
EFNB2	1.33494096680878	6.82217571452516	13.5241387240662	7.6372225150563e-34	1.06921115210788e-31	66.1362193584095
EGLN3	1.49016031205877	5.75322863603426	13.5061859223701	8.96704247291572e-34	1.24509589746879e-31	65.9773500549777
CST2	1.2908380468092	5.78854810775344	13.503028704292	9.22372431048818e-34	1.26880524757122e-31	65.9494177473454
CAPN2	0.75851840720132	9.28657443334622	13.5022567110778	9.28759449225684e-34	1.26880524757122e-31	65.9425881352666
AGR2	2.24868686809467	7.82543425568831	13.5005511293939	9.43027258572115e-34	1.27799054081693e-31	65.9274997536455
JPT1	1.23173960456023	6.60862822346791	13.4984081399608	9.61264455501011e-34	1.29236665684025e-31	65.9085426987015
DDX60	1.26222380061705	6.86450858593566	13.4956508860005	9.85247569604662e-34	1.3141806164648e-31	65.8841531916653
DCBLD1	0.770308111113034	6.30868592273196	13.4861133270175	1.07290420815711e-33	1.41992166298293e-31	65.7997999615239
LRRC8A	0.663761329592669	7.69900072483194	13.4723746045117	1.2130179600302e-33	1.59290885603966e-31	65.6783230920252
EPHX1	-1.12842504601591	7.25668292406368	-13.4567117676338	1.39514273425209e-33	1.81797830140234e-31	65.5398807261262
WDFY1	0.615248621606179	7.4555453913207	13.4496930018362	1.48537196937535e-33	1.92077871459683e-31	65.4778589417735
REEP3	0.747618877151037	8.04623040602157	13.445266198351	1.54524990044114e-33	1.98307070556613e-31	65.4387464463671
LPCAT2	0.863554350564551	5.8884412958579	13.4294490949511	1.77954963673057e-33	2.26658427415156e-31	65.2990295314301
MYRIP	-1.08198610659245	4.56553623730991	-13.414357513239	2.0360490443705e-33	2.5739306575848e-31	65.1657698983987
FAT1	0.967265381767256	8.32804639935178	13.4113113999314	2.09213200852947e-33	2.62523823885106e-31	65.1388782898948
CCDC69	-0.926386323087219	5.90480513730429	-13.4090259220523	2.13522000827807e-33	2.65960492207578e-31	65.118702975069
FOXQ1	1.45427558687047	7.42762341416923	13.4052577461032	2.20820232856251e-33	2.73043412013496e-31	65.0854413623842
ABHD17C	1.23555582101152	6.45029624519628	13.4016475976656	2.28045635844034e-33	2.7993428052159e-31	65.05357744535
MTMR11	1.0994997278752	5.75706143262134	13.4005286674188	2.30332589524001e-33	2.80707486801193e-31	65.0437020901498
CECR2	-0.485280547806164	3.90083447928604	-13.3402984122036	3.93966814808729e-33	4.7420973492773e-31	64.5125167837293
FAP	2.01732065926797	7.22455689596586	13.340087283615	3.94708220925678e-33	4.7420973492773e-31	64.5106561417159
PLS3	0.830607767165369	8.99748262431497	13.3346668126003	4.14226811738651e-33	4.94155083862869e-31	64.4628896636154
NUAK1	1.11437810443543	6.71560018694055	13.2824027480376	6.59499478426291e-33	7.81253228289606e-31	64.0026492981561
PLEC	0.786993521772797	7.23090017205924	13.2750651922726	7.03963886434666e-33	8.2813529418078e-31	63.9380814754204
CERS4	-0.848856436351352	4.97548398070263	-13.267531465815	7.52728980222662e-33	8.79395098273924e-31	63.8717995622712
